number,position,Player,Caps,Club,country,age,birthday,isHome
1,GK,Jefferson,9,Brazil Botafogo,Brazil,31,2 January 1983,TRUE
2,DF,Daniel Alves,73,Spain Barcelona,Brazil,31,6 May 1983,FALSE
3,DF,Thiago Silva (captain),45,France Paris Saint-Germain,Brazil,29,22 September 1984,FALSE
4,DF,David Luiz,34,England Chelsea,Brazil,27,22 April 1987,FALSE
5,MF,Fernandinho,6,England Manchester City,Brazil,29,4 May 1985,FALSE
6,DF,Marcelo,29,Spain Real Madrid,Brazil,26,12 May 1988,FALSE
7,MF,Ramires,41,England Chelsea,Brazil,27,24 March 1987,FALSE
8,MF,Hernanes,23,Italy Internazionale,Brazil,29,29 May 1985,FALSE
9,FW,Fred,31,Brazil Fluminense,Brazil,30,3 October 1983,TRUE
10,FW,Neymar,47,Spain Barcelona,Brazil,22,5 February 1992,FALSE
11,MF,Oscar,29,England Chelsea,Brazil,22,9 September 1991,FALSE
12,GK,J?lio C?sar,78,Canada Toronto FC,Brazil,34,3 September 1979,FALSE
13,DF,Maicon,70,Italy Roma,Brazil,32,26 July 1981,FALSE
14,DF,Dante,11,Germany Bayern Munich,Brazil,30,18 October 1983,FALSE
15,DF,Henrique,4,Italy Napoli,Brazil,27,14 October 1986,FALSE
16,DF,Maxwell,7,France Paris Saint-Germain,Brazil,32,27 August 1981,FALSE
17,MF,Luiz Gustavo,17,Germany VfL Wolfsburg,Brazil,26,23 July 1987,FALSE
18,MF,Paulinho,25,England Tottenham Hotspur,Brazil,25,25 July 1988,FALSE
19,FW,Hulk,33,Russia Zenit Saint Petersburg,Brazil,27,25 July 1986,FALSE
20,MF,Bernard,10,Ukraine Shakhtar Donetsk,Brazil,21,8 September 1992,FALSE
21,FW,J?,15,Brazil Atl?tico Mineiro,Brazil,27,20 March 1987,TRUE
22,GK,Victor,6,Brazil Atl?tico Mineiro,Brazil,31,21 January 1983,TRUE
23,MF,Willian,5,England Chelsea,Brazil,25,9 August 1988,FALSE
?,GK,Guy N'dy Assemb?,12,France Guingamp,Cameroon,28,28 February 1986,FALSE
?,GK,Charles Itandje,7,Turkey Konyaspor,Cameroon,31,2 November 1982,FALSE
